er_visits,air_quality,asbestos,electrical,food,garbage,mold,rodent,smoking,felonies,misdemeanors,violations
192,1633,16,91,336,1544,3,177,101,1962,2696,607
188,942,18,74,501,1265,3,247,91,2459,3260,741
154,894,10,111,376,1488,6,284,106,2531,3315,703
173,959,14,77,469,1491,12,165,121,1631,2249,451
228,65,1,91,130,1479,0,169,38,1230,2395,458
244,80,9,76,171,1037,1,292,27,1382,2819,560
174,67,19,92,204,1413,1,280,24,1478,2614,491
294,51,10,58,170,1123,1,227,36,779,1464,335
76,11,2,49,96,312,1,23,5,261,701,135
53,18,0,17,106,157,2,47,8,284,812,119
55,8,7,12,129,214,2,48,0,284,775,116
51,25,1,18,141,192,3,42,3,144,570,70
63,53,11,46,123,838,1,65,12,766,1035,261
70,62,14,41,136,640,2,114,12,881,1118,272
76,37,21,40,170,775,3,103,9,832,1176,284
95,45,7,40,167,584,3,75,13,550,677,169
22,31,6,38,142,1215,0,116,3,785,948,198
32,58,10,36,157,783,4,172,11,972,1146,205
20,54,7,37,188,922,2,180,4,1063,1219,189
20,48,6,42,154,953,2,130,4,570,783,119
91,73,15,45,46,953,2,159,20,376,795,138
82,58,11,34,101,539,1,288,49,509,962,173
94,54,16,43,92,654,0,268,45,533,1016,172
110,88,11,88,122,648,1,156,25,278,645,99
137,84,13,97,106,1805,0,493,21,705,1195,303
161,183,15,76,151,1140,2,617,31,811,1280,357
119,102,14,139,183,1224,1,691,14,863,1285,342
169,125,13,160,131,1094,2,369,29,445,714,219
754,31,9,280,103,2206,0,450,22,1205,1808,630
932,45,12,225,118,1953,3,543,31,1314,1926,637
788,48,13,256,100,2532,1,570,25,1273,1882,614
968,54,12,293,73,2173,1,404,56,833,1252,383
562,10,4,115,27,836,2,297,14,1079,1813,543
571,25,6,82,44,629,0,399,41,1270,2151,610
447,32,3,105,35,774,0,414,10,1276,2090,542
562,25,6,98,54,716,0,343,14,720,1273,365
406,73,9,459,76,2206,1,498,174,1214,2210,534
475,55,21,331,112,1762,0,481,170,1294,2325,643
386,54,16,523,90,2370,7,442,80,1264,2294,647
412,65,10,433,46,2134,2,340,74,802,1401,439
501,14,2,97,31,2349,0,71,6,393,712,382
514,23,2,69,27,1488,1,118,13,492,897,429
462,21,0,99,42,1859,0,170,2,579,1135,464
538,24,7,109,19,1835,1,61,11,561,1095,429
435,31,6,48,25,1340,1,56,1,323,579,259
456,28,2,43,21,1002,2,94,0,315,641,272
437,14,5,58,22,1043,0,80,2,322,728,274
464,8,6,63,13,967,0,36,1,296,630,253
126,17,3,45,31,5428,3,64,3,357,701,262
135,23,3,44,49,3314,2,178,2,375,789,367
101,36,3,71,48,3560,4,182,4,401,891,316
142,19,2,91,32,3660,3,71,5,429,888,300
99,14,4,15,24,1837,2,15,2,233,432,153
108,9,4,12,32,1190,2,53,5,207,500,192
106,11,4,32,19,1205,2,51,1,218,460,162
118,18,2,44,29,1355,2,20,2,203,439,166
762,33,13,453,68,2440,1,273,31,1636,2168,882
936,34,3,364,69,2552,2,347,25,1895,2454,926
739,13,11,534,60,2976,4,327,14,1943,2521,752
975,39,8,426,53,2710,1,264,48,1751,2439,735
795,20,3,476,44,2570,1,250,39,1377,2052,850
878,15,13,386,52,2127,0,274,24,1514,2247,930
768,24,12,494,62,2533,1,280,28,1569,2465,806
1115,15,8,408,36,2460,3,238,58,1428,2370,794
444,13,1,248,45,1521,3,229,17,1289,1775,647
609,23,9,197,45,1381,1,266,17,1440,2120,701
511,19,3,296,60,1713,1,214,5,1477,2068,655
634,10,3,243,50,1374,0,165,17,1408,2018,658
633,61,9,504,45,2769,1,329,33,1164,1613,642
680,33,7,416,70,2685,2,371,23,1368,1896,751
725,27,15,647,75,3296,5,362,14,1550,1978,708
963,33,10,589,65,2782,0,304,26,1446,2064,700
513,37,8,316,65,2803,3,176,27,1567,2042,784
652,57,10,222,105,1924,0,305,24,1647,2445,909
524,64,9,311,102,2659,2,368,23,1833,2410,936
734,28,9,298,76,2038,2,280,37,1842,2392,833
107,21,8,104,19,708,0,104,9,463,723,205
138,18,6,49,15,563,0,159,3,467,825,240
125,27,2,70,32,694,1,133,1,456,781,255
99,10,4,70,17,518,2,86,12,445,688,199
379,12,5,181,47,1877,3,89,12,1092,2007,555
495,27,4,135,52,1493,0,162,7,1129,1923,638
494,20,4,224,61,1805,0,160,6,1108,1821,639
595,6,5,195,26,1509,0,111,8,1034,1433,605
166,20,5,110,38,2494,1,69,7,673,1003,328
214,27,3,51,40,1160,1,94,3,689,1140,462
185,32,5,79,61,1369,1,119,2,792,1146,475
259,13,3,140,33,1416,1,44,4,695,1128,446
169,60,14,125,115,3012,1,211,29,955,1613,603
203,100,9,107,168,1456,1,401,39,1104,1792,660
179,101,3,145,169,1877,7,498,42,1068,1912,588
198,53,6,121,135,1534,2,257,86,974,1530,520
375,95,9,120,163,4506,1,361,41,1036,1679,549
490,137,19,105,191,2213,4,566,23,1181,2058,584
465,149,23,93,237,2581,5,649,27,1307,2261,600
505,112,7,100,203,2058,2,312,18,1074,1908,585
654,49,10,514,75,4046,2,428,72,1409,1795,782
802,61,13,425,94,3239,1,595,104,1360,1911,852
755,50,9,603,122,4213,0,587,60,1459,2042,913
779,60,17,601,73,3553,2,405,103,1312,2013,833
140,40,7,210,84,4108,1,250,20,694,1006,280
177,49,11,159,70,2816,1,375,17,657,1126,327
145,49,8,193,94,3071,3,349,16,771,1285,370
211,47,10,169,55,2847,1,207,14,633,1094,305
614,51,5,224,81,3454,5,507,24,1182,1739,610
657,52,9,205,117,1954,2,723,13,1430,1890,694
588,61,15,225,102,2607,8,623,13,1466,1954,674
752,63,9,272,110,1853,1,379,31,1265,1725,672
544,11,7,236,52,2471,0,172,31,1436,1900,664
732,32,3,207,64,1890,1,307,30,1446,2193,748
598,34,11,299,60,2570,1,285,43,1565,2106,802
612,22,5,308,50,2117,1,201,23,1399,1893,805
88,21,4,76,66,2786,1,116,38,437,1007,292
91,41,13,68,86,1278,2,184,19,521,1007,289
70,38,9,83,83,1557,3,220,19,631,1110,309
124,39,8,86,51,1212,3,120,43,428,1062,294
105,40,11,87,56,2084,1,179,89,472,534,168
129,76,9,55,96,1379,3,249,5,548,655,227
122,62,7,108,83,1602,5,295,7,664,694,238
152,44,12,76,78,1538,3,227,25,520,645,239
1042,61,18,609,91,5576,2,620,34,1904,2471,1079
1301,61,18,416,135,3677,2,920,110,2013,2962,1243
1085,76,18,534,127,4641,4,978,24,2125,2930,1352
1148,74,12,535,81,3552,1,624,39,1945,2731,1231
